Rank,Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel_Type,Video_Views_Rank,Country_Rank,Channel_Type_Rank,Video_Views_For_The_Last_30_Days,Lowest_Monthly_Earnings,Highest_Monthly_Earnings,Lowest_Yearly_Earnings,Highest_Yearly_Earnings,Subscribers_For_Last_30_Days,Created_Year,Created_Month,Created_Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban_Population,Latitude,Longitude
308,The Chainsmokers,22600000,14231943358.0,Music,The Chainsmokers,180,United States,US,Music,246,88,84,81660000.0,20400.0,326600.0,245000.0,3900000.0,100000,1970-01-01 00:00:00.000002012,Sep,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
309,mmoshaya,22600000,17507060680.0,People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,156,1,83,73829000.0,18500.0,295300.0,221500.0,3500000.0,100000,1970-01-01 00:00:00.000002010,Dec,11,68.0,34268528,5.93,28807838,23.885942,45.079162
310,Sia,22600000,13405849040.0,Music,Sia,171,United States,US,Music,273,88,84,95253000.0,23800.0,381000.0,285800.0,4600000.0,0,1970-01-01 00:00:00.000002007,Nov,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
311,LeoNata Family,22600000,27084848152.0,People & Blogs,LeoNata Family,2321,United States,US,People,57,87,11,1174000000.0,293500.0,4700000.0,3500000.0,56300000.0,1300000,1970-01-01 00:00:00.000002021,Sep,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
312,Goldmines Cineplex,22500000,2431154438.0,Film & Animation,Goldmines Cineplex,3377,India,IN,Film,3793,64,23,48740000.0,12200.0,195000.0,146200.0,2300000.0,200000,1970-01-01 00:00:00.000002015,Sep,12,28.1,1366417754,5.36,471031528,20.593684,78.96288
313,Vlad and Niki Arabic,22500000,10613701948.0,Unknown,Vlad and Niki Arabic,526,United States,US,Entertainment,399,89,84,65066000.0,16300.0,260300.0,195200.0,3100000.0,100000,1970-01-01 00:00:00.000002018,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
314,SSundee,22500000,13835173331.0,Gaming,SSundee,3315,United States,US,Games,261,90,21,175094000.0,43800.0,700400.0,525300.0,8400000.0,200000,1970-01-01 00:00:00.000002009,Nov,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
315,Paulo Londra,22400000,8040036209.0,Music,Paulo Londra,58,Argentina,AR,Music,648,6,85,72242000.0,18100.0,289000.0,216700.0,3500000.0,0,1970-01-01 00:00:00.000002016,Aug,8,90.0,44938712,9.79,41339571,-38.416097,-63.616672
316,Smile Family,22300000,8663830163.0,People & Blogs,SMILE Family,34,France,FR,Music,3805801,3046,4509,735.0,0.18,3.0,2.0,35.0,10,1970-01-01 00:00:00.000002019,Nov,3,65.6,67059887,8.43,54123364,46.227638,2.213749
317,FGTeeV,22300000,24059336857.0,Gaming,FGTeeV,1724,United States,US,Games,77,91,22,132110000.0,33000.0,528400.0,396300.0,6300000.0,100000,1970-01-01 00:00:00.000002013,May,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
